date,weather type,air quality,wind,temperature,visibility,humidity,pressure,holiday,workday,which day,fuel price,policy,economic,congestion
20160101,霾,311,3,0.5,2.8,65,1021.3hPa,是,是,五,5.67,是,否,是
20160102,霾,415,3,1,2,72,1023.8hPa,是,否,六,5.67,是,否,是
20160103,霾,285,3,0.5,6,82,1025.8hPa,是,否,日,5.67,是,否,是
20160104,多云,22,3,-2,28,93,1029.6hPa,否,是,一,5.67,否,否,否
20160105,晴,105,3,-3,10,27,1031hPa,否,是,二,5.67,否,否,否
20160106,晴,32,3,-1.5,21,77,1029.5hPa,否,是,三,5.67,否,否,否
20160107,晴,28,3,-2.5,30,32,1030.3hPa,否,是,四,5.67,否,否,否
20160108,晴,141,3,-3,24,43,1032.7hPa,否,是,五,5.67,否,否,否
20160109,晴,192,3,-1.5,15,67,1021.3hPa,否,否,六,5.67,否,否,否
20160110,多云,36,3,-3.5,9,55,1020.9hPa,否,否,日,5.67,否,否,否
20160111,晴,27,3,-3.5,30,29,1017.1hPa,否,是,一,5.67,否,否,否
20160112,晴,33,3,-4.5,30,29,1016.4hPa,否,是,二,5.67,否,否,否
20160113,晴,68,3,-2.5,2.3,23,1016.9hPa,否,是,三,5.67,否,否,否
20160114,多云,138,3,-2,7,48,1018.8hPa,否,是,四,5.55,否,否,否
20160115,霾,204,3,-1.5,4.9,58,1025.2hPa,否,是,五,5.55,否,否,否
20160116,阴,189,3,2.5,5,75,1025.2hPa,否,否,六,5.55,否,否,否
20160117,晴,35,3,-6,27,85,1025.3hPa,否,否,日,5.55,否,否,否
20160118,晴,40,3,-8.5,14,25,1026.4hPa,否,是,一,5.55,否,否,否
20160119,晴,141,3,-6,6,47,1027.4hPa,否,是,二,5.55,否,否,否
20160120,多云,192,3,-3,4.7,56,1027.3hPa,否,是,三,5.55,否,否,否
20160121,小雪,193,3,-6,2.2,58,1027.3hPa,否,是,四,5.55,否,否,否
20160122,多云,24,4,-11.5,28,28,1031hPa,否,是,五,5.55,否,否,否
20160123,晴,65,5,-12.5,16,31,1021.3hPa,否,否,六,5.55,否,否,否
20160124,晴,53,4,-7,27,25,1028hPa,否,否,日,5.55,否,否,否
20160125,晴,51,3,-2.5,10,30,1033.9hPa,否,是,一,5.55,否,否,否
